Chemistry,Cells (S),Empty Voltage (V),Storage Voltage (V),Nominal Voltage (V),Full Voltage (V)
LiPo,1S,3.0,3.8,3.7,4.2
LiPo,2S,6.0,7.6,7.4,8.4
LiPo,3S,9.0,11.4,11.1,12.6
LiPo,4S,12.0,15.2,14.8,16.8
LiPo,5S,15.0,19.0,18.5,21.0
LiPo,6S,18.0,22.8,22.2,25.2
LiPo,7S,21.0,26.6,25.9,29.4
LiPo,8S,24.0,30.4,29.6,33.6
Li-ion,1S,3.0,3.7,3.6,4.2
Li-ion,2S,6.0,7.4,7.2,8.4
Li-ion,3S,9.0,11.1,10.8,12.6
Li-ion,4S,12.0,14.8,14.4,16.8
Li-ion,5S,15.0,18.5,18.0,21.0
Li-ion,6S,18.0,22.2,21.6,25.2
Li-ion,7S,21.0,25.9,25.2,29.4
Li-ion,8S,24.0,29.6,28.8,33.6
LiFePO4,1S,2.5,3.2,3.2,3.6
LiFePO4,2S,5.0,6.4,6.4,7.2
LiFePO4,3S,7.5,9.6,9.6,10.8
LiFePO4,4S,10.0,12.8,12.8,14.4
LiFePO4,5S,12.5,16.0,16.0,18.0
LiFePO4,6S,15.0,19.2,19.2,21.6
LiFePO4,7S,17.5,22.4,22.4,25.2
LiFePO4,8S,20.0,25.6,25.6,28.8
NiMH,1S,1.0,1.2,1.2,1.4
NiMH,2S,2.0,2.4,2.4,2.8
NiMH,3S,3.0,3.6,3.6,4.2
NiMH,4S,4.0,4.8,4.8,5.6
NiMH,5S,5.0,6.0,6.0,7.0
NiMH,6S,6.0,7.2,7.2,8.4
NiMH,7S,7.0,8.4,8.4,9.8
NiMH,8S,8.0,9.6,9.6,11.2
